1:0:1:8DE:0:1:EB2D7C:0:0:0:	2270 - ESKA Koszalin
1:0:1:8FC:0:1:EB2D7C:0:0:0:	2300 - ESKA Beskidy/Zywiec
1:0:1:906:0:1:EB2D7C:0:0:0:	2310 - ESKA Szczecinek
1:0:1:910:0:1:EB2D7C:0:0:0:	2320 - ESKA Przemysl
1:0:1:91A:0:1:EB2D7C:0:0:0:	2330 - ESKA Malopolska
1:0:1:938:0:1:EB2D7C:0:0:0:	2360 - ESKA Krasnik
1:0:1:7738:416:1:C00000:0:0:0:	24 HORAS
1:0:1:960:0:1:EB2D7C:0:0:0:	2400 - ESKA Starachowice
1:0:1:974:0:1:EB2D7C:0:0:0:	2420 - ESKA Zary
1:0:1:97E:0:1:EB2D7C:0:0:0:	2430 - ESKA Elblag
1:0:1:988:0:1:EB2D7C:0:0:0:	2440 - ESKA Ilawa
1:0:1:992:0:1:EB2D7C:0:0:0:	2450 - ESKA Grudziadz
1:0:1:99C:0:1:EB2D7C:0:0:0:	2460 - ESKA Lomza
1:0:1:9B0:0:1:EB2D7C:0:0:0:	2480 - ESKA Wroclaw JG
1:0:16:523F:C99:3:EB0000:0:0:0:	24Kitchen
1:0:1:9C4:0:1:EB2D7C:0:0:0:	2500 - ESKA Ostrzeszow
1:0:19:1260:3F7:1:C00000:0:0:0:	3+
1:0:1:BE0:0:1:EB2D7C:0:0:0:	3040 - VOX Gorzow
1:0:1:C8A:0:1:EB2D7C:0:0:0:	3210 - VOX Radom
1:0:1:F96:0:1:EB2D7C:0:0:0:	3990 - VOX
1:0:1:6D67:437:1:C00000:0:0:0:	3sat
1:0:19:2B8E:3F2:1:C00000:0:0:0:	3sat HD
1:0:1:FA0:0:1:EB2D7C:0:0:0:	4000 - PLUS SES
1:0:1:100E:0:1:EB2D7C:0:0:0:	4110 - PLUS Olsztyn
1:0:1:10AE:0:1:EB2D7C:0:0:0:	4270 - PLUS Koszalin
1:0:1:10F4:0:1:EB2D7C:0:0:0:	4340 - PLUS Podhale
